CountryName,CountryCode,Year,HBD
Albania,ALB,2010,2.99
American Samoa,ASM,2010,3.569684210526317
Andorra,AND,2010,3.569684210526317
Armenia,ARM,2010,3.73
Australia,AUS,2010,3.78
Austria,AUT,2010,7.65
Azerbaijan,AZE,2010,5.06
Belarus,BLR,2010,11.45
Belgium,BEL,2010,6.12
Bosnia and Herzegovina,BIH,2010,3.4
Brunei Darussalam,BRN,2010,2.46
Bulgaria,BGR,2010,6.62
Cambodia,KHM,2010,0.84
Channel Islands,CHI,2010,3.569684210526317
China,CHN,2010,2.47
Croatia,HRV,2010,5.78
Cyprus,CYP,2010,3.57
Czechia,CZE,2010,7.3
Denmark,DNK,2010,3.5
Estonia,EST,2010,5.27
Faroe Islands,FRO,2010,3.569684210526317
Fiji,FJI,2010,3.569684210526317
Finland,FIN,2010,5.85
France,FRA,2010,6.43
French Polynesia,PYF,2010,3.569684210526317
Georgia,GEO,2010,2.99
Germany,DEU,2010,8.25
Gibraltar,GIB,2010,3.569684210526317
Greece,GRC,2010,4.48
Greenland,GRL,2010,3.569684210526317
Guam,GUM,2010,3.569684210526317
"Hong Kong SAR, China",HKG,2010,3.569684210526317
Hungary,HUN,2010,7.18
Iceland,ISL,2010,3.58
Indonesia,IDN,2010,0.57
Ireland,IRL,2010,2.73
Isle of Man,IMN,2010,3.569684210526317
Italy,ITA,2010,3.64
Japan,JPN,2010,13.51
Kazakhstan,KAZ,2010,7.29
Kiribati,KIR,2010,1.4
"Korea, Dem. People's Rep.",PRK,2010,14.3
"Korea, Rep.",KOR,2010,8.74
Kosovo,XKX,2010,3.569684210526317
Kyrgyz Republic,KGZ,2010,4.76
Lao PDR,LAO,2010,0.7
Latvia,LVA,2010,5.68
Liechtenstein,LIE,2010,3.569684210526317
Lithuania,LTU,2010,7.16
Luxembourg,LUX,2010,5.37
"Macao SAR, China",MAC,2010,3.569684210526317
Malaysia,MYS,2010,1.8
Marshall Islands,MHL,2010,2.7
"Micronesia, Fed. Sts.",FSM,2010,3.569684210526317
Moldova,MDA,2010,6.18
Monaco,MCO,2010,3.569684210526317
Mongolia,MNG,2010,6.0
Montenegro,MNE,2010,3.98
Myanmar,MMR,2010,3.569684210526317
Nauru,NRU,2010,5.0
Netherlands,NLD,2010,4.05
New Caledonia,NCL,2010,3.569684210526317
New Zealand,NZL,2010,2.75
North Macedonia,MKD,2010,4.59
Northern Mariana Islands,MNP,2010,3.569684210526317
Norway,NOR,2010,4.3
Palau,PLW,2010,4.8
Papua New Guinea,PNG,2010,3.569684210526317
Philippines,PHL,2010,1.06
Poland,POL,2010,6.61
Portugal,PRT,2010,3.37
Romania,ROU,2010,6.28
Russian Federation,RUS,2010,9.41
Samoa,WSM,2010,3.569684210526317
San Marino,SMR,2010,3.569684210526317
Serbia,SRB,2010,5.4
Singapore,SGP,2010,3.569684210526317
Slovak Republic,SVK,2010,6.46
Slovenia,SVN,2010,4.57
Solomon Islands,SLB,2010,3.569684210526317
Spain,ESP,2010,3.11
Sweden,SWE,2010,2.73
Switzerland,CHE,2010,5.19
Tajikistan,TJK,2010,5.08
Thailand,THA,2010,2.1
Timor-Leste,TLS,2010,5.9
Tonga,TON,2010,2.6
Turkiye,TUR,2010,2.74
Turkmenistan,TKM,2010,4.1
Tuvalu,TUV,2010,3.569684210526317
Ukraine,UKR,2010,9.38
United Kingdom,GBR,2010,2.93
Uzbekistan,UZB,2010,4.44
Vanuatu,VUT,2010,3.569684210526317
Vietnam,VNM,2010,2.91
Albania,ALB,2011,2.88
American Samoa,ASM,2011,3.3884210526315792
Andorra,AND,2011,3.3884210526315792
Armenia,ARM,2011,3.74
Australia,AUS,2011,3.79
Austria,AUT,2011,7.68
Azerbaijan,AZE,2011,4.62
Belarus,BLR,2011,11.25
